State,StCodeAP,StCodeInd,District,DstCodeAP,DstCodeInd
Andhra Pradesh,28,28,Anantapuramu,21,553
Andhra Pradesh,28,28,Sri Sathya Sai,22,754
Andhra Pradesh,28,28,Alluri Sitharama Raju,04,745
Andhra Pradesh,28,28,Kakinada,07,746
Andhra Pradesh,28,28,East Godavari,09,545
Andhra Pradesh,28,28,Dr.B.R.Ambedkar Konaseema,08,747
Andhra Pradesh,28,28,Bapatla,15,750
Andhra Pradesh,28,28,Palnadu,16,751
Andhra Pradesh,28,28,Guntur,14,548
Andhra Pradesh,28,28,Krishna,12,547
Andhra Pradesh,28,28,NTR,13,749
Andhra Pradesh,28,28,Eluru,11,748
Andhra Pradesh,28,28,Anakapalli,06,744
Andhra Pradesh,28,28,Visakhapatnam,05,544
Andhra Pradesh,28,28,Y.S.R.Kadapa,23,551
Andhra Pradesh,28,28,Annamayya,24,753
Andhra Pradesh,28,28,Nandyal,20,755
Andhra Pradesh,28,28,Kurnool,19,552
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550
Andhra Pradesh,28,28,Tirupati,26,752
Andhra Pradesh,28,28,Prakasam,17,549
Andhra Pradesh,28,28,Srikakulam,01,542
Andhra Pradesh,28,28,Parvathipuram Manyam,03,743
Andhra Pradesh,28,28,Vizianagaram,02,543
Andhra Pradesh,28,28,West Godavari,10,546
Andhra Pradesh,28,28,Chittoor,25,554
